32,Kepulauan Riau,Sekupang,http://tides.big.go.id:8888/kacrut/0034SKPG01/0034SKPG01.html,http://tides.big.go.id:8888/kacrut/0034SKPG01/temp.csv
33,Jambi,Jambi,http://tides.big.go.id:8888/kacrut/0113JMBI01/0113JMBI01.html,http://tides.big.go.id:8888/kacrut/0113JMBI01/temp.csv
34,Bengkulu,Pulau Baai,http://tides.big.go.id:8888/kacrut/0032PBAI01/0032PBAI01.html,http://tides.big.go.id:8888/kacrut/0032PBAI01/temp.csv
35,Bengkulu,Bintuhan,http://tides.big.go.id:8888/kacrut/0096BINT01/0096BINT01.html,http://tides.big.go.id:8888/kacrut/0096BINT01/temp.csv
36,Bengkulu,Seblat,http://tides.big.go.id:8888/kacrut/0077SBLT01/0077SBLT01.html,http://tides.big.go.id:8888/kacrut/0077SBLT01/temp.csv
37,Bengkulu,Pulau Enggano,http://tides.big.go.id:8888/kacrut/0092ENGG01/0092ENGG01.html,http://tides.big.go.id:8888/kacrut/0092ENGG01/temp.csv
38,Bangka Belitung,Belitung,http://tides.big.go.id:8888/kacrut/0138BLTG01/0138BLTG01.html,http://tides.big.go.id:8888/kacrut/0138BLTG01/temp.csv
39,Bangka Belitung,Bangka,http://tides.big.go.id:8888/kacrut/0028BNGK01/0028BNGK01.html,http://tides.big.go.id:8888/kacrut/0028BNGK01/temp.csv
40,Bangka Belitung,Sungailiat,http://tides.big.go.id:8888/kacrut/0152LIAT01/0152LIAT01.html,http://tides.big.go.id:8888/kacrut/0152LIAT01/temp.csv
41,Bangka Belitung,Sadai,http://tides.big.go.id:8888/kacrut/0159SDAI01/0159SDAI01.html,http://tides.big.go.id:8888/kacrut/0159SDAI01/temp.csv
42,Lampung,Krui,http://tides.big.go.id:8888/kacrut/0100KRUI01/0100KRUI01.html,http://tides.big.go.id:8888/kacrut/0100KRUI01/temp.csv
43,Lampung,Bengkunat,http://tides.big.go.id:8888/kacrut/0099BKNT01/0099BKNT01.html,http://tides.big.go.id:8888/kacrut/0099BKNT01/temp.csv
44,Lampung,Kota Agung,http://tides.big.go.id:8888/kacrut/0080KTAG01/0080KTAG01.html,http://tides.big.go.id:8888/kacrut/0080KTAG01/temp.csv
45,Lampung,Panjang,http://tides.big.go.id:8888/kacrut/0006PANJ01/0006PANJ01.html,http://tides.big.go.id:8888/kacrut/0006PANJ01/temp.csv
46,Kalimantan Barat,Pemangkat,http://tides.big.go.id:8888/kacrut/0024PMKT01/0024PMKT01.html,http://tides.big.go.id:8888/kacrut/0024PMKT01/temp.csv
47,Kalimantan Barat,Kayong,http://tides.big.go.id:8888/kacrut/0151KAYO01/0151KAYO01.html,http://tides.big.go.id:8888/kacrut/0151KAYO01/temp.csv
